Cold Word Appearance in every Document,Total Words (m),Frequency (f)
Article #353,9,1
Article #354,28,0
Article #355,25,1
Article #356,7,0
Article #357,19,1
Article #358,28,0
Article #359,10,1
Article #360,23,1
Article #361,28,1
Article #362,7,0
Article #363,27,0
Article #364,18,0
Article #365,25,0
Article #366,15,0
Article #367,16,1
Article #368,32,0
Article #369,26,1
Article #370,23,0
Article #371,33,0
Article #372,26,0
Article #373,8,0
Article #374,18,0
Article #375,24,0
Article #376,19,1
Article #377,30,0
Article #378,21,0
Article #379,10,0
Article #380,26,1
Article #381,20,1
Article #382,22,0
Article #383,5,0
Article #384,21,1
Article #385,9,0
Article #386,6,0
Article #387,25,0
Article #388,26,0
Article #389,27,0
Article #390,26,0
Article #391,28,0
Article #392,29,0
Article #393,28,0
Article #394,22,1
Article #395,13,0
Article #396,9,0
Article #397,28,0
Article #398,9,0
Article #399,16,1
Article #400,28,1
Article #401,19,0
Article #402,31,1
Article #403,8,0
Article #404,9,0
Article #405,25,1
Article #406,9,0
Article #407,20,1
Article #408,21,0
Article #409,19,0
Article #410,22,0
Article #411,13,0
Article #412,31,0
Article #413,24,0
Article #414,9,0
Article #415,28,0
Article #416,22,0
Article #417,28,0
Article #418,28,0
Article #419,20,0
Article #420,28,0
Article #421,8,0
Article #422,10,0
Article #423,26,1
Article #424,25,0
Article #425,22,0
Article #426,26,0
Article #427,23,1
Article #428,23,0
Article #429,24,1
Article #430,29,0
Article #431,13,0
Article #432,27,2
Article #433,20,1
Article #434,21,1
Article #435,8,0
Article #436,14,1
Article #437,7,0
Article #438,18,0
Article #439,24,0
Article #440,26,0
Article #441,29,0
Article #442,24,1
Article #443,24,1
Article #444,24,1
Article #445,18,0
Article #446,28,0
Article #447,13,0
Article #448,24,0
Article #449,32,0
Article #450,8,0
Article #451,13,0
Article #452,14,0
Article #453,25,0
Article #454,6,0
Article #455,24,0
Article #456,19,1
Article #457,28,1
Article #458,26,1
Article #459,28,2
Article #460,25,0
Article #461,12,0
Article #462,30,0
Article #463,12,0
Article #464,22,0
Article #465,23,1
Article #466,26,1
Article #467,8,0
Article #468,10,0
Article #469,18,0
Article #470,26,1
Article #471,27,0
Article #472,11,2
Article #473,26,1
Article #474,25,1
Article #475,32,0
Article #476,24,0
Article #477,18,0
Article #478,9,0
Article #479,5,0
Article #480,9,0
Article #481,7,0
Article #482,24,1
Article #483,24,0
Article #484,17,1
Article #485,18,0
Article #486,6,0
Article #487,8,0
Article #488,29,1
Article #489,13,0
Article #490,7,0
Article #491,8,0
Article #492,23,1
Article #493,29,1
Article #494,23,2
Article #495,18,0
Article #496,22,1
Article #497,10,1
Article #498,16,0
Article #499,21,0
Article #500,10,0
Article #501,20,0
Article #502,22,1
Article #503,22,1
Article #504,13,0
Article #505,9,0
Article #506,11,1
Article #507,12,1
Article #508,28,0
Article #509,28,1
Article #510,27,1
Article #511,12,1
Article #512,22,0
Article #513,14,0
Article #514,28,0
Article #515,23,0
Article #516,10,0
Article #517,14,1
Article #518,7,0
Article #519,4,0
Article #520,9,0
Article #521,32,0
Article #522,26,1
Article #523,10,0
Article #524,28,0
Article #525,20,1
Article #526,8,1
Article #527,7,0
Article #528,25,0
Article #529,27,0
Article #530,16,0
Article #531,9,0
Article #532,27,1
Article #533,21,1
Article #534,14,0
Article #535,22,0
Article #536,22,0
Article #537,22,0
Article #538,9,0
Article #539,9,0
Article #540,23,0
Article #541,11,1
Article #542,18,0
Article #543,31,0
Article #544,26,0
Article #545,21,1
Article #546,13,1
Article #547,13,0
Article #548,24,0
Article #549,28,1
Article #550,6,0
Article #551,24,0
Article #552,21,1
Article #553,26,1
Article #554,6,0
Article #555,24,1
Article #556,8,0
Article #557,26,1
Article #558,25,0
Article #559,6,0
Article #560,8,0
Article #561,17,0
Article #562,26,0
Article #563,24,0
Article #564,20,1
Article #565,23,0
Article #566,27,0
Article #567,19,0
Article #568,28,0
Article #569,11,0
Article #570,14,0
Article #571,21,1
Article #572,24,1
Article #573,24,0
Article #574,26,0
Article #575,22,0
Article #576,24,0
Article #577,13,0
Article #578,8,1
Article #579,6,0
Article #580,25,1
Article #581,8,0
Article #582,13,0
Article #583,24,0
Article #584,8,0
Article #585,9,1
Article #586,19,0
Article #587,23,0
Article #588,18,0
Article #589,18,1
Article #590,24,0
Article #591,9,0
Article #592,9,0
Article #593,9,0
Article #594,29,1
Article #595,24,0
Article #596,8,0
Article #597,12,0
Article #598,26,0
Article #599,8,0
Article #600,9,0
Article #601,22,0
Article #602,12,0
Article #603,25,0
Article #604,24,0
Article #605,27,0
Article #606,26,1
Article #607,25,0
Article #608,27,0
Article #609,25,0
Article #610,27,0
Article #611,9,0
Article #612,32,0
Article #613,8,1
Article #614,22,1
Article #615,27,0
Article #616,23,1
Article #617,25,1
Article #618,13,0
Article #619,11,0
Article #620,24,0
Article #621,24,0
Article #622,7,0
Article #623,22,0
Article #624,35,1
Article #625,24,1
Article #626,8,0
Article #627,24,0
Article #628,15,0
Article #629,8,0
Article #630,24,1
Article #631,5,0
Article #632,13,0
Article #633,15,1
Article #634,22,0
Article #635,29,1
Article #636,11,0
Article #637,22,0
Article #638,15,0
Article #639,24,1
Article #640,16,1
Article #641,8,0
Article #642,9,0
Article #643,31,2
Article #644,12,1
Article #645,13,0
Article #646,8,0
Article #647,14,0
Article #648,9,0
Article #649,7,0
Article #650,9,0
Article #651,21,1
Article #652,6,0
Article #653,24,0
Article #654,10,0
Article #655,13,0
Article #656,28,0
Article #657,32,0
Article #658,27,0
Article #659,20,1
Article #660,8,0
Article #661,21,1
Article #662,26,0
Article #663,9,0
Article #664,26,1
Article #665,13,0
Article #666,26,0
Article #667,25,0
Article #668,19,0
Article #669,19,0
Article #670,31,2
Article #671,8,0
Article #672,8,0
Article #673,15,0
Article #674,22,0
Article #675,7,0
Article #676,24,0
Article #677,18,0
Article #678,22,0
Article #679,22,0
Article #680,6,0
Article #681,30,0
Article #682,27,1
Article #683,25,1
Article #684,20,1
Article #685,11,0
Article #686,15,0
Article #687,29,1
Article #688,13,0
Article #689,13,0
Article #690,10,0
Article #691,11,0
Article #692,5,0
Article #693,24,1
Article #694,4,0
Article #695,28,0
Article #696,26,1
Article #697,13,1
Article #698,28,0
Article #699,33,0
Article #700,18,1
Article #701,28,0
Article #702,28,1
Article #703,9,0
Article #704,21,1
Article #705,11,1
Article #706,26,1
Article #707,26,2
Article #708,9,0
Article #709,24,0
Article #710,12,1
Article #711,6,0
Article #712,7,0
Article #713,19,1
Article #714,6,0
Article #715,24,1
Article #716,19,0
Article #717,13,0
Article #718,24,0
Article #719,24,1
Article #720,9,1
Article #721,14,1
Article #722,9,1
Article #723,9,0
Article #724,12,0
Article #725,20,1
Article #726,9,0
Article #727,16,1
Article #728,26,1
Article #729,6,0
Article #730,8,0
Article #731,29,0
Article #732,19,0
Article #733,32,0
Article #734,26,0
Article #735,28,0
Article #736,20,0
Article #737,23,0
Article #738,9,0
Article #739,21,1
Article #740,29,0
Article #741,26,1
Article #742,32,0
Article #743,15,1
Article #744,10,0
Article #745,28,1
Article #746,28,2
Article #747,10,1
Article #748,18,1
Article #749,26,0
Article #750,24,0
Article #751,16,1
Article #752,18,1
Article #753,24,0
Article #754,30,0
Article #755,31,1
Article #756,9,0
Article #757,7,0
Article #758,24,1
Article #759,24,0
Article #760,30,0
Article #761,28,0
Article #762,16,0
Article #763,23,0
Article #764,8,0
Article #765,10,1
Article #766,29,1
Article #767,28,0
Article #768,23,0
Article #769,9,0
Article #770,8,1
Article #771,14,0
Article #772,14,0
Article #773,31,1
Article #774,19,0
Article #775,22,1
Article #776,24,1
Article #777,9,1
Article #778,24,1
Article #779,22,0
Article #780,22,1
Article #781,24,0
Article #782,25,0
Article #783,28,2
Article #784,13,0
Article #785,9,0
Article #786,7,0
Article #787,22,0
Article #788,15,0
Article #789,10,0
Article #790,18,1
Article #791,13,1
Article #792,16,0
Article #793,18,1
Article #794,16,0
Article #795,9,0
Article #796,8,0
Article #797,8,0
Article #798,12,0
Article #799,25,1
Article #800,10,0
Article #801,19,0
Article #802,32,0
Article #803,13,0
Article #804,31,1
Article #805,27,0
Article #806,7,0
Article #807,14,0
Article #808,32,1
Article #809,31,1
Article #810,10,0
Article #811,12,0
Article #812,17,1
Article #813,21,1
Article #814,11,0
Article #815,27,1
Article #816,21,0
Article #817,31,2
Article #818,9,1
Article #819,30,1
Article #820,25,0
Article #821,28,1
Article #822,21,1
Article #823,21,1
Article #824,18,0
Article #825,19,1
Article #826,29,2
Article #827,19,1
Article #828,10,0
Article #829,9,0
Article #830,27,1
Article #831,29,0
Article #832,27,1
Article #833,10,0
Article #834,20,0
Article #835,30,1
Article #836,26,1
Article #837,27,1
Article #838,31,2
Article #839,31,1
Article #840,11,0
Article #841,25,0
Article #842,33,0
Article #843,17,1
Article #844,9,0
Article #845,25,1
Article #846,15,1
Article #847,21,1
Article #848,30,0
Article #849,26,0
Article #850,22,0
Article #851,7,0
Article #852,20,0
Article #853,17,0
Article #854,20,0
Article #855,21,0
Article #856,26,0
Article #857,10,0
Article #858,22,0
Article #859,19,0
Article #860,20,0
Article #861,20,0
Article #862,22,0
Article #863,27,1
Article #864,25,0
Article #865,20,0
Article #866,31,1
Article #867,24,0
Article #868,25,1
Article #869,26,0
Article #870,19,1
Article #871,24,1
Article #872,23,0
Article #873,24,0
Article #874,23,0
Article #875,22,1
Article #876,23,0
Article #877,10,0
Article #878,16,0
Article #879,23,0
Article #880,24,0
Article #881,16,1
Article #882,23,0
Article #883,25,0
Article #884,17,0
Article #885,21,1
Article #886,14,0
Article #887,8,0
Article #888,29,0
Article #889,27,0
