Cold Word Appearance in every Document,Total Words (m),Frequency (f)
Article #1486,9,0
Article #1487,24,0
Article #1488,24,0
Article #1489,18,0
Article #1490,26,1
Article #1491,25,0
Article #1492,8,0
Article #1493,6,0
Article #1494,29,0
Article #1495,21,0
Article #1496,24,0
Article #1497,24,0
Article #1498,18,0
Article #1499,24,1
Article #1500,18,1
Article #1501,21,0
Article #1502,18,1
Article #1503,31,1
Article #1504,8,0
Article #1505,10,0
Article #1506,21,1
Article #1507,21,0
Article #1508,24,0
Article #1509,8,0
Article #1510,10,0
Article #1511,16,0
Article #1512,12,0
Article #1513,28,2
Article #1514,4,0
Article #1515,11,1
Article #1516,7,0
Article #1517,26,1
Article #1518,10,0
Article #1519,10,1
Article #1520,10,0
Article #1521,10,0
Article #1522,11,0
Article #1523,22,0
Article #1524,17,1
Article #1525,27,0
Article #1526,8,0
Article #1527,27,0
Article #1528,9,0
Article #1529,29,1
Article #1530,11,0
Article #1531,10,0
Article #1532,7,0
Article #1533,21,1
Article #1534,32,1
Article #1535,27,1
Article #1536,26,1
Article #1537,27,0
Article #1538,20,1
Article #1539,24,2
Article #1540,26,1
Article #1541,28,2
Article #1542,8,1
Article #1543,16,0
Article #1544,21,1
Article #1545,15,1
Article #1546,17,0
Article #1547,28,0
Article #1548,9,0
Article #1549,9,1
Article #1550,10,0
Article #1551,30,0
Article #1552,19,1
Article #1553,19,1
Article #1554,30,0
Article #1555,12,0
Article #1556,16,1
Article #1557,4,0
Article #1558,21,0
Article #1559,28,0
Article #1560,19,1
Article #1561,9,0
Article #1562,7,0
Article #1563,22,1
Article #1564,29,0
Article #1565,26,0
Article #1566,9,0
Article #1567,27,0
Article #1568,7,0
Article #1569,30,1
Article #1570,13,0
Article #1571,14,1
Article #1572,4,0
Article #1573,28,2
Article #1574,10,0
Article #1575,12,0
Article #1576,8,0
Article #1577,26,1
Article #1578,9,0
Article #1579,16,0
Article #1580,27,0
Article #1581,8,0
Article #1582,15,1
Article #1583,19,1
Article #1584,26,1
Article #1585,14,0
Article #1586,20,0
Article #1587,10,0
Article #1588,22,0
Article #1589,10,0
Article #1590,27,1
Article #1591,22,0
Article #1592,19,0
Article #1593,19,0
Article #1594,24,1
Article #1595,9,0
Article #1596,11,0
Article #1597,8,0
Article #1598,14,0
Article #1599,8,0
Article #1600,9,0
Article #1601,14,0
Article #1602,24,0
Article #1603,27,0
Article #1604,22,0
Article #1605,26,0
Article #1606,10,0
Article #1607,14,0
Article #1608,24,0
Article #1609,10,0
Article #1610,26,0
Article #1611,11,0
Article #1612,23,0
Article #1613,29,0
Article #1614,9,0
Article #1615,26,1
Article #1616,5,0
Article #1617,10,0
Article #1618,24,1
Article #1619,21,1
Article #1620,33,0
Article #1621,8,0
Article #1622,30,0
Article #1623,5,0
Article #1624,28,1
Article #1625,14,1
Article #1626,33,0
Article #1627,28,2
Article #1628,8,0
Article #1629,21,1
Article #1630,16,1
Article #1631,28,1
Article #1632,7,0
Article #1633,8,0
Article #1634,11,1
Article #1635,24,1
Article #1636,20,0
Article #1637,24,1
Article #1638,27,1
Article #1639,15,1
Article #1640,28,0
Article #1641,20,0
Article #1642,19,1
Article #1643,19,0
Article #1644,22,0
Article #1645,16,1
Article #1646,28,1
Article #1647,27,1
Article #1648,29,1
Article #1649,28,0
Article #1650,19,0
Article #1651,10,0
Article #1652,18,0
Article #1653,20,1
Article #1654,25,0
Article #1655,24,1
Article #1656,12,0
Article #1657,10,0
Article #1658,24,1
Article #1659,17,0
Article #1660,27,0
Article #1661,10,0
Article #1662,11,0
Article #1663,26,0
Article #1664,5,0
Article #1665,8,0
Article #1666,21,0
Article #1667,16,1
Article #1668,28,0
Article #1669,31,1
Article #1670,10,0
Article #1671,31,1
Article #1672,4,0
Article #1673,9,0
Article #1674,24,0
Article #1675,28,1
Article #1676,4,0
Article #1677,23,1
Article #1678,9,0
Article #1679,18,0
Article #1680,13,0
Article #1681,18,1
Article #1682,27,0
Article #1683,11,1
Article #1684,8,0
Article #1685,19,1
Article #1686,30,0
Article #1687,10,0
Article #1688,13,0
Article #1689,15,1
Article #1690,26,1
Article #1691,29,1
Article #1692,9,0
Article #1693,9,0
Article #1694,9,0
Article #1695,16,1
Article #1696,22,1
Article #1697,25,0
Article #1698,21,1
Article #1699,22,0
Article #1700,28,2
Article #1701,6,1
Article #1702,17,0
Article #1703,10,0
Article #1704,4,0
Article #1705,27,0
Article #1706,6,0
Article #1707,26,0
Article #1708,20,2
Article #1709,24,0
Article #1710,21,0
Article #1711,12,0
Article #1712,4,0
Article #1713,4,0
Article #1714,25,0
Article #1715,27,1
Article #1716,6,1
Article #1717,18,1
Article #1718,27,0
Article #1719,18,0
Article #1720,26,0
Article #1721,15,1
Article #1722,9,0
Article #1723,23,0
Article #1724,14,1
Article #1725,23,0
Article #1726,26,0
Article #1727,26,1
Article #1728,27,0
Article #1729,24,1
Article #1730,29,1
Article #1731,7,0
Article #1732,20,0
Article #1733,28,0
Article #1734,19,0
Article #1735,18,1
Article #1736,23,0
Article #1737,8,1
Article #1738,25,0
Article #1739,25,1
Article #1740,25,1
Article #1741,12,1
Article #1742,10,1
Article #1743,24,0
Article #1744,26,1
Article #1745,10,0
Article #1746,7,0
Article #1747,18,1
Article #1748,28,0
Article #1749,23,0
Article #1750,20,1
Article #1751,25,0
Article #1752,28,0
Article #1753,25,0
Article #1754,28,0
Article #1755,19,1
Article #1756,8,0
Article #1757,22,0
Article #1758,24,0
Article #1759,27,0
Article #1760,24,0
Article #1761,26,1
Article #1762,10,0
Article #1763,26,1
Article #1764,9,0
Article #1765,9,0
Article #1766,24,0
Article #1767,25,0
Article #1768,21,1
Article #1769,22,0
Article #1770,11,1
Article #1771,30,0
Article #1772,28,1
Article #1773,17,0
Article #1774,10,0
Article #1775,10,0
Article #1776,24,1
Article #1777,25,1
Article #1778,14,1
Article #1779,18,0
Article #1780,5,0
Article #1781,15,0
Article #1782,7,0
Article #1783,11,0
Article #1784,21,0
Article #1785,7,0
Article #1786,19,0
Article #1787,7,0
Article #1788,31,1
Article #1789,24,1
Article #1790,14,1
Article #1791,31,2
Article #1792,25,0
Article #1793,17,0
Article #1794,11,1
Article #1795,27,0
Article #1796,31,1
Article #1797,11,1
Article #1798,10,0
Article #1799,12,1
Article #1800,14,1
Article #1801,23,0
Article #1802,28,2
Article #1803,22,0
Article #1804,8,0
Article #1805,22,0
Article #1806,8,0
Article #1807,8,0
Article #1808,25,0
Article #1809,25,0
Article #1810,24,0
Article #1811,17,0
Article #1812,31,1
Article #1813,14,0
Article #1814,24,1
Article #1815,21,0
Article #1816,11,0
Article #1817,18,0
Article #1818,8,0
Article #1819,9,0
Article #1820,24,1
Article #1821,9,0
Article #1822,19,0
Article #1823,20,0
Article #1824,7,0
Article #1825,27,0
Article #1826,18,0
Article #1827,18,0
Article #1828,23,0
Article #1829,21,1
Article #1830,25,0
Article #1831,20,0
Article #1832,23,0
Article #1833,30,0
Article #1834,30,0
Article #1835,21,1
Article #1836,33,0
Article #1837,19,0
Article #1838,13,0
Article #1839,9,0
Article #1840,8,0
Article #1841,12,0
Article #1842,28,1
Article #1843,11,0
Article #1844,4,0
Article #1845,25,0
Article #1846,12,0
Article #1847,10,0
Article #1848,9,0
Article #1849,14,0
Article #1850,26,0
Article #1851,16,0
Article #1852,8,0
Article #1853,12,0
Article #1854,13,0
Article #1855,16,0
Article #1856,28,1
Article #1857,18,0
Article #1858,11,1
Article #1859,8,0
Article #1860,26,1
Article #1861,23,0
Article #1862,10,0
Article #1863,6,0
Article #1864,25,0
Article #1865,12,0
Article #1866,33,0
Article #1867,13,0
Article #1868,18,0
Article #1869,24,0
Article #1870,27,0
Article #1871,13,0
Article #1872,24,1
Article #1873,9,0
Article #1874,29,1
Article #1875,30,0
Article #1876,11,0
Article #1877,21,0
Article #1878,15,0
Article #1879,10,0
Article #1880,8,1
Article #1881,8,0
Article #1882,10,1
Article #1883,17,0
Article #1884,14,0
Article #1885,8,0
Article #1886,17,0
Article #1887,18,1
Article #1888,5,0
Article #1889,25,0
Article #1890,25,1
Article #1891,33,0
Article #1892,24,1
Article #1893,26,0
Article #1894,14,0
Article #1895,7,0
Article #1896,17,1
Article #1897,9,0
Article #1898,26,0
Article #1899,21,0
Article #1900,28,0
Article #1901,22,1
Article #1902,9,1
Article #1903,22,0
Article #1904,23,0
Article #1905,5,0
Article #1906,15,0
Article #1907,20,1
Article #1908,9,0
Article #1909,6,0
Article #1910,28,2
Article #1911,31,1
Article #1912,13,0
Article #1913,12,0
Article #1914,17,1
Article #1915,18,0
Article #1916,9,0
Article #1917,16,0
Article #1918,24,0
Article #1919,28,0
Article #1920,32,0
Article #1921,8,0
Article #1922,11,1
Article #1923,16,1
Article #1924,10,0
Article #1925,10,0
Article #1926,28,0
Article #1927,14,1
Article #1928,27,0
Article #1929,28,0
Article #1930,32,0
Article #1931,13,0
Article #1932,19,1
Article #1933,31,1
Article #1934,15,0
Article #1935,24,0
Article #1936,24,1
Article #1937,9,0
Article #1938,7,0
Article #1939,24,0
Article #1940,13,1
Article #1941,26,0
Article #1942,21,0
Article #1943,16,1
Article #1944,26,1
Article #1945,21,0
Article #1946,13,1
Article #1947,7,0
Article #1948,5,0
Article #1949,9,0
Article #1950,23,0
Article #1951,24,0
Article #1952,17,0
Article #1953,30,0
Article #1954,9,1
Article #1955,18,0
Article #1956,23,1
Article #1957,28,2
Article #1958,23,1
Article #1959,11,0
Article #1960,9,0
Article #1961,8,1
Article #1962,26,1
Article #1963,25,0
Article #1964,13,1
Article #1965,28,0
Article #1966,25,1
Article #1967,28,2
Article #1968,18,0
Article #1969,11,0
Article #1970,23,1
Article #1971,20,0
Article #1972,7,0
Article #1973,24,1
Article #1974,8,0
Article #1975,21,0
Article #1976,24,1
Article #1977,25,0
Article #1978,11,1
Article #1979,28,2
Article #1980,7,0
Article #1981,8,0
Article #1982,29,0
Article #1983,13,0
Article #1984,23,0
Article #1985,28,0
Article #1986,22,0
Article #1987,25,0
Article #1988,21,0
Article #1989,19,0
Article #1990,21,0
Article #1991,27,1
Article #1992,26,1
Article #1993,24,0
Article #1994,7,0
Article #1995,8,0
Article #1996,9,0
Article #1997,9,0
Article #1998,26,1
Article #1999,12,0
Article #2000,27,1
Article #2001,26,0
Article #2002,27,1
Article #2003,7,0
Article #2004,13,0
Article #2005,15,0
Article #2006,24,0
Article #2007,31,1
Article #2008,8,0
Article #2009,19,1
Article #2010,28,0
Article #2011,27,0
Article #2012,29,0
Article #2013,12,1
Article #2014,29,0
Article #2015,16,1
Article #2016,23,0
Article #2017,4,0
Article #2018,15,0
Article #2019,22,1
Article #2020,6,0
Article #2021,31,1
Article #2022,26,1
Article #2023,32,0
Article #2024,27,0
Article #2025,27,0
Article #2026,16,0
Article #2027,25,0
Article #2028,9,0
Article #2029,31,1
Article #2030,28,1
Article #2031,9,0
Article #2032,20,0
Article #2033,26,0
Article #2034,8,1
Article #2035,13,0
Article #2036,23,1
Article #2037,28,1
Article #2038,25,0
Article #2039,8,0
Article #2040,28,1
Article #2041,19,0
Article #2042,28,0
Article #2043,28,0
Article #2044,25,1
Article #2045,11,0
Article #2046,21,0
Article #2047,22,1
Article #2048,29,1
Article #2049,12,0
Article #2050,24,1
Article #2051,4,0
Article #2052,26,0
Article #2053,5,0
Article #2054,24,1
Article #2055,9,0
Article #2056,25,0
Article #2057,8,0
Article #2058,24,0
Article #2059,9,0
Article #2060,22,0
Article #2061,25,0
Article #2062,16,1
Article #2063,9,0
Article #2064,27,1
Article #2065,31,1
Article #2066,6,0
Article #2067,11,0
Article #2068,27,0
Article #2069,12,0
Article #2070,31,1
Article #2071,10,0
Article #2072,26,0
Article #2073,11,1
Article #2074,27,0
Article #2075,20,1
Article #2076,31,1
Article #2077,23,0
Article #2078,28,0
Article #2079,14,1
Article #2080,23,1
Article #2081,21,1
Article #2082,23,1
Article #2083,12,0
Article #2084,25,0
Article #2085,29,1
Article #2086,9,0
Article #2087,24,1
Article #2088,9,0
Article #2089,18,1
Article #2090,27,0
Article #2091,9,1
Article #2092,20,0
Article #2093,23,1
Article #2094,8,0
Article #2095,23,1
Article #2096,22,0
Article #2097,10,1
Article #2098,11,0
Article #2099,23,1
Article #2100,26,1
Article #2101,28,2
Article #2102,23,0
Article #2103,19,1
Article #2104,5,0
Article #2105,7,0
Article #2106,23,0
Article #2107,14,1
Article #2108,13,0
Article #2109,28,1
Article #2110,22,0
Article #2111,22,0
Article #2112,10,0
Article #2113,19,1
Article #2114,15,1
Article #2115,8,0
Article #2116,6,0
Article #2117,26,0
Article #2118,27,1
Article #2119,6,0
Article #2120,7,0
Article #2121,22,1
Article #2122,19,0
Article #2123,30,0
Article #2124,21,1
Article #2125,9,0
Article #2126,10,0
Article #2127,9,0
Article #2128,26,2
Article #2129,21,0
Article #2130,32,1
Article #2131,4,0
Article #2132,19,1
Article #2133,6,0
Article #2134,26,0
Article #2135,7,0
Article #2136,28,0
Article #2137,31,1
Article #2138,23,0
Article #2139,8,0
Article #2140,8,1
Article #2141,25,0
Article #2142,26,1
Article #2143,23,0
Article #2144,12,0
Article #2145,28,1
Article #2146,28,1
Article #2147,23,0
Article #2148,9,0
Article #2149,10,1
Article #2150,19,1
Article #2151,27,1
Article #2152,7,0
Article #2153,24,0
Article #2154,19,1
Article #2155,25,0
Article #2156,28,1
Article #2157,16,0
Article #2158,20,1
Article #2159,26,1
Article #2160,20,0
Article #2161,11,0
Article #2162,31,1
Article #2163,17,0
Article #2164,25,1
Article #2165,27,0
Article #2166,27,1
Article #2167,29,1
Article #2168,12,0
Article #2169,9,0
Article #2170,8,0
Article #2171,9,0
Article #2172,6,0
Article #2173,18,0
Article #2174,21,1
Article #2175,12,0
Article #2176,32,0
Article #2177,26,0
Article #2178,7,0
Article #2179,18,0
Article #2180,12,0
Article #2181,18,0
Article #2182,24,0
Article #2183,27,1
Article #2184,7,0
Article #2185,8,1
Article #2186,11,1
Article #2187,18,0
Article #2188,17,0
Article #2189,21,1
Article #2190,4,0
Article #2191,6,0
Article #2192,19,0
Article #2193,18,0
Article #2194,9,0
Article #2195,18,0
Article #2196,21,1
Article #2197,20,1
Article #2198,9,0
Article #2199,24,1
Article #2200,14,0
Article #2201,27,0
Article #2202,26,1
Article #2203,32,0
Article #2204,12,1
Article #2205,10,0
Article #2206,24,0
Article #2207,7,1
Article #2208,28,0
Article #2209,32,0
Article #2210,10,1
Article #2211,16,1
Article #2212,21,0
Article #2213,29,1
Article #2214,27,1
Article #2215,27,0
Article #2216,9,0
Article #2217,18,0
Article #2218,33,1
Article #2219,9,0
Article #2220,21,1
Article #2221,26,0
Article #2222,18,0
Article #2223,30,0
Article #2224,5,0
Article #2225,14,1
Article #2226,10,1
Article #2227,12,1
Article #2228,7,0
Article #2229,10,0
Article #2230,9,0
Article #2231,7,0
Article #2232,7,0
Article #2233,6,0
Article #2234,4,0
Article #2235,26,1
Article #2236,23,0
Article #2237,28,0
Article #2238,22,0
Article #2239,21,0
Article #2240,18,0
Article #2241,22,0
Article #2242,21,0
Article #2243,31,1
Article #2244,24,0
Article #2245,31,1
Article #2246,8,0
Article #2247,17,0
Article #2248,8,0
Article #2249,28,0
Article #2250,11,1
Article #2251,19,0
Article #2252,19,1
Article #2253,9,0
Article #2254,23,0
Article #2255,11,0
Article #2256,8,0
Article #2257,16,0
Article #2258,30,2
Article #2259,9,1
Article #2260,32,0
Article #2261,18,1
Article #2262,29,0
Article #2263,28,1
Article #2264,30,0
Article #2265,30,0
Article #2266,23,0
Article #2267,22,1
Article #2268,13,0
Article #2269,32,1
Article #2270,8,0
Article #2271,12,0
Article #2272,10,0
Article #2273,23,1
Article #2274,9,0
Article #2275,4,0
Article #2276,11,0
Article #2277,26,1
Article #2278,8,0
Article #2279,22,0
Article #2280,25,1
Article #2281,19,1
Article #2282,8,0
Article #2283,24,0
Article #2284,20,1
Article #2285,26,1
Article #2286,4,0
Article #2287,24,1
Article #2288,27,1
Article #2289,24,0
Article #2290,15,0
Article #2291,19,1
Article #2292,21,1
Article #2293,13,1
Article #2294,35,0
Article #2295,25,0
Article #2296,9,0
Article #2297,10,0
Article #2298,21,0
Article #2299,32,0
Article #2300,27,1
Article #2301,24,1
Article #2302,25,1
Article #2303,28,0
Article #2304,19,0
Article #2305,16,1
Article #2306,23,0
Article #2307,14,0
Article #2308,9,0
Article #2309,15,0
Article #2310,10,0
Article #2311,33,0
Article #2312,29,1
Article #2313,16,1
Article #2314,11,1
Article #2315,24,0
Article #2316,7,0
Article #2317,10,0
Article #2318,25,1
Article #2319,26,0
Article #2320,16,0
Article #2321,15,0
Article #2322,19,0
Article #2323,11,1
Article #2324,21,0
Article #2325,24,1
Article #2326,18,0
Article #2327,18,0
Article #2328,24,1
Article #2329,29,1
Article #2330,7,0
Article #2331,10,0
Article #2332,32,0
Article #2333,25,0
Article #2334,22,1
Article #2335,25,0
Article #2336,6,0
Article #2337,28,0
Article #2338,24,0
Article #2339,7,0
Article #2340,23,1
Article #2341,19,1
Article #2342,20,0
Article #2343,9,1
Article #2344,24,0
Article #2345,14,0
Article #2346,29,0
Article #2347,11,0
Article #2348,22,1
Article #2349,15,1
Article #2350,27,0
Article #2351,23,0
Article #2352,31,1
Article #2353,24,1
Article #2354,31,1
Article #2355,28,0
Article #2356,10,0
Article #2357,12,0
Article #2358,9,0
Article #2359,24,0
Article #2360,23,0
Article #2361,21,0
Article #2362,14,0
Article #2363,10,0
Article #2364,28,0
Article #2365,28,2
Article #2366,13,0
Article #2367,10,0
Article #2368,12,0
Article #2369,23,0
Article #2370,28,0
Article #2371,12,0
Article #2372,24,0
Article #2373,33,0
Article #2374,26,2
Article #2375,4,0
Article #2376,25,0
Article #2377,24,1
Article #2378,19,0
Article #2379,9,0
Article #2380,18,0
Article #2381,13,0
Article #2382,18,0
Article #2383,13,0
Article #2384,22,1
Article #2385,16,0
Article #2386,11,1
Article #2387,12,0
Article #2388,9,0
Article #2389,21,0
Article #2390,4,0
Article #2391,22,1
Article #2392,11,1
Article #2393,9,0
Article #2394,17,0
Article #2395,18,0
Article #2396,26,1
Article #2397,26,1
Article #2398,26,0
Article #2399,12,1
Article #2400,20,1
Article #2401,23,0
Article #2402,23,0
Article #2403,25,1
Article #2404,30,1
Article #2405,30,1
Article #2406,26,1
Article #2407,24,0
Article #2408,29,1
Article #2409,24,1
Article #2410,19,1
Article #2411,21,1
Article #2412,12,0
Article #2413,28,2
Article #2414,24,0
Article #2415,13,0
Article #2416,25,1
Article #2417,21,0
Article #2418,21,0
Article #2419,26,1
Article #2420,9,1
Article #2421,9,0
Article #2422,15,1
Article #2423,6,0
Article #2424,7,0
Article #2425,29,0
Article #2426,24,0
Article #2427,32,0
Article #2428,7,0
Article #2429,27,0
Article #2430,22,0
Article #2431,7,1
Article #2432,5,0
Article #2433,25,0
Article #2434,28,0
Article #2435,9,0
Article #2436,30,0
Article #2437,16,1
Article #2438,26,1
Article #2439,24,0
Article #2440,25,0
Article #2441,9,0
Article #2442,24,0
Article #2443,13,0
Article #2444,18,1
Article #2445,30,0
Article #2446,22,0
Article #2447,18,1
Article #2448,16,1
Article #2449,26,1
Article #2450,15,1
Article #2451,22,0
Article #2452,18,1
Article #2453,4,0
Article #2454,14,0
Article #2455,9,0
Article #2456,7,0
Article #2457,26,1
Article #2458,5,0
Article #2459,20,1
Article #2460,30,1
Article #2461,26,0
Article #2462,26,0
Article #2463,25,1
Article #2464,4,0
Article #2465,24,1
Article #2466,8,0
Article #2467,27,0
Article #2468,33,0
Article #2469,21,0
Article #2470,11,1
Article #2471,26,0
Article #2472,24,0
Article #2473,5,0
Article #2474,11,0
Article #2475,20,1
Article #2476,25,1
Article #2477,9,0
Article #2478,5,0
Article #2479,27,1
Article #2480,30,0
Article #2481,27,0
Article #2482,25,0
Article #2483,9,0
Article #2484,28,1
Article #2485,27,1
Article #2486,15,1
Article #2487,18,0
Article #2488,25,1
Article #2489,11,1
Article #2490,17,1
Article #2491,28,1
Article #2492,8,1
Article #2493,21,1
Article #2494,27,1
Article #2495,10,0
Article #2496,31,1
Article #2497,11,0
Article #2498,6,0
Article #2499,7,0
Article #2500,15,1
Article #2501,23,1
Article #2502,4,0
Article #2503,15,0
Article #2504,26,0
Article #2505,15,0
Article #2506,25,1
Article #2507,9,0
Article #2508,27,1
Article #2509,7,0
Article #2510,28,0
Article #2511,11,0
Article #2512,27,0
Article #2513,13,0
Article #2514,25,1
Article #2515,20,0
Article #2516,30,0
Article #2517,21,1
Article #2518,23,0
Article #2519,10,0
Article #2520,10,0
Article #2521,7,0
Article #2522,18,0
Article #2523,11,1
Article #2524,15,0
Article #2525,24,0
Article #2526,28,0
Article #2527,31,1
Article #2528,23,1
Article #2529,14,0
Article #2530,27,1
Article #2531,8,0
Article #2532,26,1
Article #2533,24,0
Article #2534,24,0
Article #2535,10,0
Article #2536,26,0
Article #2537,9,0
Article #2538,8,0
Article #2539,18,0
Article #2540,22,0
Article #2541,11,0
Article #2542,26,1
Article #2543,20,1
Article #2544,25,0
Article #2545,9,0
Article #2546,13,1
Article #2547,9,0
Article #2548,30,0
Article #2549,16,1
Article #2550,16,0
Article #2551,12,1
Article #2552,28,1
Article #2553,20,2
Article #2554,28,1
Article #2555,22,1
Article #2556,4,0
Article #2557,14,0
Article #2558,25,0
Article #2559,25,1
Article #2560,27,1
Article #2561,29,1
Article #2562,29,0
Article #2563,7,1
Article #2564,18,1
Article #2565,14,0
Article #2566,22,0
Article #2567,33,0
Article #2568,9,0
Article #2569,19,0
Article #2570,7,0
Article #2571,22,1
Article #2572,22,0
Article #2573,16,0
Article #2574,19,1
Article #2575,28,0
Article #2576,7,0
Article #2577,21,0
Article #2578,26,0
Article #2579,16,0
Article #2580,9,0
Article #2581,8,0
Article #2582,26,0
Article #2583,28,1
Article #2584,17,1
Article #2585,22,1
Article #2586,22,0
Article #2587,19,1
Article #2588,6,0
Article #2589,28,0
Article #2590,21,1
Article #2591,15,1
Article #2592,9,0
Article #2593,25,1
Article #2594,26,0
Article #2595,32,0
Article #2596,25,0
Article #2597,21,0
Article #2598,18,0
Article #2599,9,0
Article #2600,27,0
Article #2601,6,0
Article #2602,19,0
Article #2603,33,0
Article #2604,26,0
Article #2605,5,0
Article #2606,22,1
Article #2607,22,0
Article #2608,13,1
Article #2609,16,1
Article #2610,9,0
Article #2611,26,0
Article #2612,10,0
Article #2613,10,0
Article #2614,27,1
Article #2615,23,1
Article #2616,22,0
Article #2617,29,0
Article #2618,21,1
Article #2619,14,0
Article #2620,31,0
Article #2621,33,0
Article #2622,29,1
Article #2623,9,0
Article #2624,11,0
Article #2625,24,0
Article #2626,17,0
Article #2627,18,0
Article #2628,24,0
Article #2629,9,0
Article #2630,18,1
Article #2631,18,1
Article #2632,8,1
Article #2633,26,0
Article #2634,22,0
Article #2635,19,0
Article #2636,23,0
Article #2637,9,0
Article #2638,12,1
Article #2639,15,1
Article #2640,31,1
Article #2641,23,0
Article #2642,19,0
Article #2643,23,1
Article #2644,10,0
Article #2645,20,0
Article #2646,6,0
Article #2647,10,0
Article #2648,4,0
Article #2649,23,1
Article #2650,20,1
Article #2651,7,0
Article #2652,24,0
Article #2653,24,1
Article #2654,5,0
Article #2655,16,1
Article #2656,22,1
Article #2657,18,0
Article #2658,28,0
Article #2659,28,0
Article #2660,10,0
Article #2661,11,0
Article #2662,29,0
Article #2663,6,0
Article #2664,24,0
Article #2665,16,0
Article #2666,13,0
Article #2667,24,0
Article #2668,15,1
Article #2669,6,0
Article #2670,19,1
Article #2671,30,1
Article #2672,17,1
Article #2673,5,0
Article #2674,27,0
Article #2675,23,1
Article #2676,22,1
Article #2677,18,1
Article #2678,19,1
Article #2679,19,1
Article #2680,25,0
Article #2681,5,0
Article #2682,25,1
Article #2683,32,1
Article #2684,24,0
Article #2685,24,1
Article #2686,4,0
Article #2687,8,1
Article #2688,13,0
Article #2689,29,0
Article #2690,14,0
Article #2691,27,0
Article #2692,19,1
Article #2693,23,1
Article #2694,11,0
Article #2695,10,0
Article #2696,13,1
Article #2697,24,0
Article #2698,8,0
Article #2699,9,0
Article #2700,5,0
Article #2701,10,0
Article #2702,10,0
Article #2703,26,0
Article #2704,15,1
Article #2705,26,1
Article #2706,12,1
Article #2707,8,0
Article #2708,9,0
Article #2709,11,1
Article #2710,28,1
Article #2711,8,0
Article #2712,12,0
Article #2713,26,0
Article #2714,20,0
Article #2715,28,0
Article #2716,12,1
Article #2717,27,0
Article #2718,9,1
Article #2719,7,0
Article #2720,29,1
Article #2721,22,1
Article #2722,29,1
Article #2723,7,0
Article #2724,14,1
Article #2725,9,1
Article #2726,6,0
Article #2727,23,0
Article #2728,28,0
Article #2729,12,1
Article #2730,27,0
Article #2731,12,0
Article #2732,29,1
Article #2733,32,0
Article #2734,30,0
Article #2735,23,1
Article #2736,16,1
Article #2737,14,1
Article #2738,18,0
Article #2739,28,0
Article #2740,17,0
Article #2741,14,1
Article #2742,6,1
Article #2743,19,0
Article #2744,22,1
Article #2745,9,0
Article #2746,26,1
Article #2747,20,1
Article #2748,25,0
Article #2749,24,0
Article #2750,12,1
Article #2751,23,1
Article #2752,23,1
Article #2753,24,1
Article #2754,25,0
Article #2755,8,0
Article #2756,19,0
Article #2757,29,0
Article #2758,22,1
Article #2759,4,0
Article #2760,8,0
Article #2761,6,0
Article #2762,13,0
Article #2763,11,1
Article #2764,27,1
Article #2765,9,0
Article #2766,30,0
Article #2767,28,0
Article #2768,12,0
Article #2769,20,1
Article #2770,6,0
Article #2771,24,0
Article #2772,26,0
Article #2773,9,0
Article #2774,18,0
Article #2775,25,1
Article #2776,23,1
Article #2777,13,1
Article #2778,4,0
Article #2779,11,1
Article #2780,16,1
Article #2781,13,0
Article #2782,19,1
Article #2783,14,0
Article #2784,24,1
Article #2785,16,1
Article #2786,6,0
Article #2787,25,0
Article #2788,7,0
Article #2789,27,0
Article #2790,31,0
Article #2791,26,0
Article #2792,19,1
Article #2793,29,1
Article #2794,22,1
Article #2795,14,1
Article #2796,21,0
Article #2797,27,1
Article #2798,7,0
Article #2799,23,0
Article #2800,23,1
Article #2801,25,1
Article #2802,26,0
Article #2803,20,1
Article #2804,12,0
Article #2805,16,1
Article #2806,21,0
Article #2807,34,0
Article #2808,29,1
Article #2809,5,0
Article #2810,26,0
Article #2811,32,0
Article #2812,28,0
Article #2813,5,0
Article #2814,31,1
Article #2815,22,0
Article #2816,30,2
Article #2817,6,0
Article #2818,16,0
Article #2819,23,0
Article #2820,30,0
Article #2821,11,0
Article #2822,9,0
Article #2823,8,0
Article #2824,26,0
Article #2825,11,1
Article #2826,32,0
Article #2827,6,0
Article #2828,9,0
Article #2829,16,1
Article #2830,31,1
Article #2831,18,1
Article #2832,16,0
Article #2833,27,0
Article #2834,24,0
Article #2835,19,1
Article #2836,23,0
Article #2837,29,1
Article #2838,24,0
Article #2839,29,0
Article #2840,13,0
Article #2841,7,0
Article #2842,23,1
Article #2843,21,0
Article #2844,21,0
Article #2845,12,0
Article #2846,25,0
Article #2847,30,0
Article #2848,11,0
Article #2849,6,0
Article #2850,15,0
Article #2851,9,0
Article #2852,14,1
Article #2853,23,1
Article #2854,27,0
Article #2855,29,1
Article #2856,12,0
Article #2857,31,1
Article #2858,24,0
Article #2859,22,1
Article #2860,27,1
Article #2861,17,0
Article #2862,8,0
Article #2863,28,0
Article #2864,12,0
Article #2865,10,0
Article #2866,7,0
Article #2867,25,0
Article #2868,24,1
Article #2869,18,0
Article #2870,25,1
Article #2871,19,0
Article #2872,26,0
Article #2873,7,0
Article #2874,28,0
Article #2875,24,0
Article #2876,17,0
Article #2877,11,2
Article #2878,22,1
Article #2879,12,0
Article #2880,28,2
Article #2881,19,1
Article #2882,15,0
